seller_id,seller_zip_code_prefix,seller_city,seller_state,total_gmv,avg_order_value,total_items,total_freight,avg_freight,unique_orders,unique_products,avg_review_score,review_count,review_score_std,total_reviews,bad_review_rate,avg_shipping_days,median_shipping_days,avg_delivery_days,median_delivery_days,delivery_success_rate,category_count,sku_count,first_order_date,last_order_date,total_orders,active_days,order_frequency,revenue_per_order,items_per_order,is_active,business_tier,cluster_tier,cluster_tier_name
0c7f30ae9b147eca07affbef92832a6a,84020,ponta grossa,PR,479.5,95.9,5,87.61,17.52,5,4,5.0,5,0.0,5,0.0,1.2,1.0,6.2,5.0,100.0,3,4,2017-03-03 11:02:44,2017-04-17 20:12:02,5,46,0.1087,95.9,1.0,1,Basic,1,Silver
cf1313c6e2c01c2f4b014f97db4bcd2b,22050,rio de janeiro \rio de janeiro,RJ,315.7,63.14,5,81.3,16.26,5,3,5.0,5,0.0,5,0.0,1.2,1.0,5.8,6.0,100.0,2,3,2018-06-15 15:55:16,2018-08-06 20:55:21,5,53,0.0943,63.14,1.0,1,Basic,1,Silver
404e1ba01358af4cd63f679b2c4d1fa1,36032,juiz de fora,MG,373.9,31.16,12,177.83,14.82,8,7,5.0,12,0.0,12,0.0,1.75,1.5,5.0,4.0,100.0,3,7,2017-08-21 01:07:46,2018-08-16 12:36:06,12,361,0.0332,46.7375,1.5,1,Basic,1,Silver
94ca168e8bcb407ab85c5da308863027,16250,clementina,SP,224.3,44.86,5,87.36,17.47,5,4,5.0,5,0.0,5,0.0,1.4,2.0,10.0,6.0,100.0,2,4,2017-11-21 21:11:07,2018-08-24 18:37:17,5,276,0.0181,44.86,1.0,1,Basic,1,Silver
7994b065a7ffb14e71c6312cf87b9de2,29142,cariacica / es,ES,453.0,64.71,7,144.34,20.62,5,5,5.0,7,0.0,7,0.0,2.71,3.0,5.14,5.0,100.0,1,5,2018-06-05 20:41:45,2018-08-04 00:42:23,7,60,0.1167,90.6,1.4,1,Basic,1,Silver
bdf0d02d36a1d839d0c39c4a887cdd49,16200,birigui,SP,120.0,17.14,7,95.95,13.71,5,2,5.0,7,0.0,7,0.0,1.14,1.0,6.14,6.0,100.0,1,2,2018-01-07 18:31:16,2018-02-04 20:00:08,7,29,0.2414,24.0,1.4,1,Basic,1,Silver
09bad886111255c5b5030314fc7f1a4a,1022,sao paulo,SP,487.5,97.5,5,72.86,14.57,5,1,5.0,5,0.0,5,0.0,2.4,2.0,3.0,1.0,100.0,1,1,2018-08-08 18:25:48,2018-08-27 19:37:48,5,20,0.25,97.5,1.0,1,Basic,1,Silver
762fafdaa57a532ee0119731697579dd,13311,itu,SP,206.7,41.34,5,54.17,10.83,5,4,5.0,5,0.0,5,0.0,1.2,1.0,2.4,2.0,100.0,2,4,2018-06-08 02:18:40,2018-08-11 11:01:19,5,65,0.0769,41.34,1.0,1,Basic,1,Silver
23ca5f678e0b3ea6c630b30fa8bf51ea,2839,sao paulo,SP,183.0,26.14,7,96.39,13.77,6,4,5.0,7,0.0,7,0.0,2.71,2.0,4.0,4.0,100.0,1,4,2017-03-04 11:44:25,2017-05-04 23:14:03,7,62,0.1129,30.5,1.1666666666666667,1,Basic,1,Silver
4049512728d969bec69f84088b012416,30310,belo horizonte,MG,389.84,43.32,9,160.43,17.83,7,7,5.0,9,0.0,9,0.0,2.78,2.0,7.11,6.0,100.0,2,7,2017-04-23 22:08:43,2018-01-31 23:46:01,9,284,0.0317,55.69142857142857,1.2857142857142858,1,Basic,1,Silver
c3fe93ba3085f92855c97e57f38c8c05,81510,curitiba,PR,245.0,35.0,7,113.97,16.28,7,5,5.0,7,0.0,7,0.0,3.5,2.5,8.67,8.0,85.71,1,5,2017-06-08 18:45:48,2018-07-24 23:30:08,7,412,0.017,35.0,1.0,1,Basic,1,Silver
